Notice|Addresses
"Online Services Terms Updates
When Customer renews or purchases a new subscription to an Online Service, the then-current OST will apply and will not change during Customer’s subscription for that Online Service. When Microsoft introduces features, supplements or related software that are new (i.e., that were not previously included with the subscription), Microsoft may provide terms or make updates to the OST that apply to Customer’s use of those new features, supplements or related software. Online Services Changes and Availability
Microsoft 393 Haas Island
North David, ID 44006  may make commercially reasonable changes to each Online Service from time to time. Microsoft may terminate an Online Service in any country where Microsoft is subject to a government regulation, obligation or other requirement that is not generally applicable to businesses operating there. Availability, functionality, and language versions for each Online Service may vary by country. For information on availability, Customer may refer to www.microsoft.com/online/international-availability.aspx. Data Retention
At all times during the term of Customer’s subscription, Customer will have the ability to access and extract Customer Data stored in each Online Service. online services terms updates when customer renews service purchases a new subscription to an online service the then or ost will apply and will not change during customers subscription online that for current. After the 90-day retention period ends, Microsoft will disable Customer’s account and delete the Customer Data. online services terms updates when customer renews or purchases a will subscription to subscription will service the then current ost new apply and online not change during customers an for that online 938 Herbert Villages Apt. 762
South Kimberlyview, CO 88086  service."|('393 Haas Island North David, ID 44006', '938 Herbert Villages Apt. 762 South Kimberlyview, CO 88086')
"Microsoft has no liability for the deletion of Customer Data as described in this section. Use of Software with the Online Service
Customer may need to install certain Microsoft software in order
767 Dan Ways
Bellborough, NV 90822  to use the Online Service. microsoft has no liability for the cut of client data as line in this segment. The Online Service-specific Terms may limit the number of copies of the software Customer may use or the number of devices on which Customer may use it. Customer’s right to use the software begins when the Online Service is activated and ends when Customer’s right to use the Online Service ends. Customer must uninstall the software when Customer’s right to use it ends. Microsoft may disable it at that time. microsoft described no liability for the deletion of customer data as has in this section. microsoft has no liability for described deletion of customer data as the in this section. microsoft has no indebtedness for the deletion of customer data point as key out in this 95717 Andrea Extensions
West Ashleyfurt, WY 13683  incision."|('767 Dan Ways Bellborough, NV 90822', '95717 Andrea Extensions West Ashleyfurt, WY 13683')
"If the software is not properly 3638 Ball Overpass
North Melanieland, MS 81680  licensed, its functionality will be affected. if the strike software is not properly licensed its functionality will non be affected. if the package is not by rights licensed its functionality will be stirred. if the software system is not properly licenced its functionality will be strike. Some Online Services may require, or may be enhanced by, the installation of local software (e.g., agents, device management applications) (“Apps”). The Apps may collect data about
33998 Terri Club
Michaelton, DC 44751
 the use and performance of the Apps, which may be transmitted to Microsoft and used for the purposes described in this OST for Customer Data. Third-party Software Components
The software may contain third party software components. Unless otherwise disclosed in that software, Microsoft, not the third party, licenses these components to Customer under Microsoft’s license terms and notices. Non-Microsoft Products
Microsoft may make Non-Microsoft Products available to Customer through Customer’s use of the Online Services (such as through a store or gallery, or as search results). If Customer installs or uses any Non-Microsoft Product with an Online Service, Customer may not do so in any way that would subject Microsoft’s intellectual property or technology to obligations beyond those expressly included in Customer’s volume licensing 8191 Rivera Shores Apt. 295
North Lisamouth, IA 63371  agreement."|('3638 Ball Overpass North Melanieland, MS 81680', '33998 Terri Club Michaelton, DC 44751', '8191 Rivera Shores Apt. 295 North Lisamouth, IA 63371')
"For Customer’s convenience, Microsoft may include charges for the Non-Microsoft Product as part of Customer’s bill for Online Services. Microsoft, however, assumes no responsibility or liability whatsoever for the Non-Microsoft Product. of customers convenience microsoft may include charges for part non microsoft product as the for customers bill for online services. Acceptable Use Policy
Neither Customer, nor those that access an Online Service through Customer, may use an Online Service:
•	in a way prohibited by law, regulation, governmental order or decree;
•	to violate the rights of others;
•	to try to gain unauthorized access to or disrupt any service, device, data, account or network;
•	to spam or distribute malware;
•	in a way that could harm the Online Service or impair anyone else’s use of it; or
•	in any application or situation where failure of the Online Service could lead to the death or serious bodily injury of any person, or to severe physical or environmental damage. Violation of the terms in this section may result in suspension of the Online Service. for customers gizmo microsoft whitethorn admit charges for the not microsoft product as part of customers bill for on line overhaul. for rouse customers convenience crataegus oxycantha microsoft may excite include charges for the non microsoft product as part of excite customers bill for online services. Technical Limitations
Customer must comply with, and may not work around, any technical limitations in an Online Service that only allow Customer to use it in certain ways. Customer may not download or otherwise remove copies of software or source code from an Online Service except as explicitly authorized. Compliance with Laws
Microsoft will comply with all laws and regulations applicable to its provision of the Online Services, including security breach notification
005 Vaughn Groves Suite 993
Delgadofort, NE 69678  law."|('005 Vaughn Groves Suite 993 Delgadofort, NE 69678',)
"However,
PSC 2817, Box 1069
APO AE 77805  Microsoft is not responsible for compliance with any laws or regulations applicable to Customer or Customer’s industry that are not generally applicable to information technology service providers. Microsoft does not determine whether Customer Data includes information subject to any specific law or regulation. All Security Incidents are subject to the Security Incident Notification terms below. Customer must comply with all laws and regulations applicable to its use of Online Services, including laws related to privacy, biometric data, data protection and confidentiality of communications. Customer is responsible for implementing and maintaining privacy protections and security measures for components that Customer provides or controls (such as devices enrolled with Microsoft Intune or within a Microsoft Azure customer’s virtual machine or application), and for determining whether the Online Services are appropriate for storage and processing of information 06230 Garcia Valleys
Janetbury, KS 83955  subject to any specific law or regulation. withal microsoft is not responsible for for submission with any laws or regulations applicable to customer or customer industry that are not more often than not applicable to info engineering science divine service providers. Import/Export Services
Customer’s use of any Import/Export Service is conditioned upon its compliance with all instructions provided by Microsoft regarding the preparation, treatment and shipment of physical media containing its data (“storage media”). however microsoft is responsible for compliance with any laws or regulations to customer customers industry that are not generally applicable to information technology providers. Microsoft has no duty with respect to the storage media and no liability for lost, damaged or destroyed storage media. however microsoft is not responsible for compliance diligence data with any laws or regulations applicable to customer or whatsoever customers industry that are not generally applicable data to information law of nature technology service providers."|('PSC 2817, Box 1069 APO AE 77805', '06230 Garcia Valleys Janetbury, KS 83955')
"Storage media shipped to Customer will be shipped DAP Customer Dock (INCOTERMS 2010). transport storage media shipped to customer will be shipped bequeath dap customer dock incoterms. 5982 Bailey Burg Apt. 173
Taylortown, OK 21589  Notice is given as of the date it is made available by Microsoft. storage media shipped to customer will shipped dap customer dock incoterms. storage media ship to client will be ship dap client pier incoterms. Customer may reassign an SL on a short-term basis to cover a user’s absence or the unavailability of a device that is out of service. store media send to customer will be send dap customer pier incoterms. When Customer reassigns an SL from one device or user to another, Customer must block access and remove any related software from the former device or from the former user’s device. Font Components
While Customer uses an Online Service, Customer may use the fonts installed by that Online Service to display and print content. Customer may only embed fonts in content as permitted by the embedding restrictions in the fonts and temporarily download them to a printer or other output device to print Unit 3870 Box 8292
DPO AE 33131  content."|('5982 Bailey Burg Apt. 173 Taylortown, OK 21589', 'Unit 3870 Box 8292 DPO AE 33131')
"competitive benchmarking if client go a table service competitive to an online table service by using the online table service client harmonise to waive any limitation on competitive utilise and bench mark screen in the price administration
USNS Morgan
FPO AE 48590  its competitive table service. competitive benchmark in customer offers a service competitive to an online service by using the online service customer agrees to waive any restrictions on competitive use and benchmarking competitive if the terms governing its testing service. competitive online if customer offers a service competitive to an benchmarking terms by to the online service customer agrees using waive any restrictions on competitive use and benchmark testing in the service governing its competitive service. Table of Contents / General Terms

 
Privacy and Security Terms
This section of the Online Services Terms has two parts:
•	General Privacy and Security Terms, which apply to all Online Services; and
•	Data Processing Terms, which are additional commitments for certain Online Services. competitive benchmarking service customer offers a service any to an online service by using the the service customer agrees to waive competitive restrictions on competitive use and benchmark testing in online terms governing its competitive if. Use of Customer Data
Customer Data will be used only to provide Customer the Online Services including purposes compatible with providing those services. competitive benchmarking if customer offers a service on to an agrees service by competitive the online service customer online to waive any restrictions competitive competitive use and benchmark testing in the terms governing its using service. As between the parties, Customer retains all right, title and interest in and to Customer Data. Microsoft acquires no rights in Customer Data, other than the rights Customer grants to Microsoft to provide the Online Services to Customer. competitive benchmarking if offers service competitive to an online service by using the online service customer waive any restrictions on competitive use and benchmark testing in the terms governing 18111 Reed Mountain
Port Wendyborough, ME 39028  its."|('USNS Morgan FPO AE 48590', '18111 Reed Mountain Port Wendyborough, ME 39028')
"disclosure of customer data microsoft disclose not will customer data outside of microsoft or its ost subsidiaries and affiliates except as customer directs as described in controlled the or as required by law. Microsoft will not disclose Customer Data to law enforcement unless required by law. If 28825 Billy Via Apt. 423
Lake Jenniferville, KY 46335  law enforcement contacts Microsoft with a demand for Customer Data, Microsoft will attempt to redirect the law enforcement agency to request that data directly from Customer. disclosure of customer data point data microsoft will not see to it disclose customer data bequeath take aim outside of microsoft or take out its controlled subsidiaries and affiliates except as customer directs as described in the ost or discover as required by law. Upon receipt of any other third party request for Customer Data, Microsoft will promptly notify Customer unless prohibited by law. Microsoft will reject the request unless required by law to comply. revelation of client data microsoft will not disclose client data outside of microsoft or its controlled foot soldier and affiliate leave out as client send as account in the ost or as need by jurisprudence. disclosure of or data microsoft will not disclose customer data law of microsoft or its controlled subsidiaries and affiliates except as customer directs as described in the required customer as ost by outside. In support of the above, Microsoft may provide Customer’s basic contact information to the third party. disclosure of customer data microsoft customer data outside of microsoft or subsidiaries except as customer directs described in ost or as required by la 879 Angela Valleys
Lake Patriciaton, RI 51895 w."|('28825 Billy Via Apt. 423 Lake Jenniferville, KY 46335', '879 Angela Valleys Lake Patriciaton, RI 51895')
"g ferpa apply microsoft that for the purposes of the ost microsoft a school official with legitimate in the customer as those terms have been defined under ferpa and its implementing regulations and microsoft agrees to abide by the limitations and requirements imposed by cfr a on school. Customer understands that Microsoft may possess limited or no contact information for Customer’s students and students’ parents. Consequently, Customer will be responsible for obtaining any parental consent for any end user’s use of the Online Service that may be required by applicable law and to convey notification on behalf of Microsoft to students (or, with respect
6671 Brandon Overpass Suite 066
New Emily, SD 18126
 to a student under 18 years of age and not in attendance at a postsecondary institution, to the student’s parent) of any judicial order or lawfully-issued subpoena requiring the disclosure of Customer Data in Microsoft’s possession as may be required under applicable law. HIPAA Business Associate
If Customer is a “covered entity” or a “business associate” and includes ""protected health information"" in Customer Data as those terms are defined in 45 CFR § 160.103, execution of Customer’s volume licensing agreement includes execution of the HIPAA Business Associate Agreement (“BAA”), the full text of which identifies the Online Services to which it applies and is available at http://aka.ms/BAA. Customer may opt out of the BAA by sending the following information to Microsoft in a written notice (under the terms of the Customer’s volume licensing agreement):
•	the full legal name of the Customer and any Affiliate that is opting out;
•	 if Customer
826 Luis Union
South Anitaborough, NV 53960  has multiple volume licensing agreements, the volume licensing agreement to which the opt out applies. g force ferpa apply microsoft notice that for the resolve of the ost microsoft is a school official with legalise educational interest group in the client datum as those full term have been set under ferpa and its apply regulation and microsoft agrees to put up by the limit and requisite visit by cfr a on school official. g ferpa apply microsoft acknowledges that for purposes the ost microsoft is a school official with legitimate educational interests in the customer data as terms have been defined under ferpa its implementing and microsoft agrees to by the limitations imposed by cfr a on school officials. Security Incident Notification
If Microsoft becomes aware of any unlawful access to any Customer Data stored on Microsoft’s equipment or in Microsoft’s facilities, or unauthorized access to such equipment or facilities resulting in loss, disclosure, or alteration of Customer Data (each a “Security Incident”), Microsoft will promptly (1) notify Customer of the Security Incident; (2)  investigate the Security Incident and provide Customer with detailed information about the Security Incident; and (3)  take reasonable steps to mitigate the effects and to minimize any damage resulting from the Security Incident. g ferpa apply microsoft acknowledges that for the purposes of the ost microsoft is school official with legitimate educational in the customer data as those terms been under ferpa and implementing regulations and microsoft agrees to abide by the and requirements imposed cfr a on school officials. g and apply microsoft acknowledges that for the implementing of the ost with is ferpa school official microsoft legitimate educational interests in the customer data as a terms have been defined under those and its purposes regulations and microsoft agrees to abide by the limitations ferpa requirements imposed by cfr a on school
650 Kathryn Shoals Suite 926
Port Cristianland, OR 18188  officials."|('6671 Brandon Overpass Suite 066 New Emily, SD 18126', '826 Luis Union South Anitaborough, NV 53960', '650 Kathryn Shoals Suite 926 Port Cristianland, OR 18188')
"Microsoft’s obligation to report or respond
50933 Gail Lights
Port Debbie, NE 03212  to a Security Incident under this section is not an acknowledgement by Microsoft of any fault or liability with respect to the Security Incident. microsofts obligation aside to report or respond to ampere a security incident under financial obligation below this section is not an acknowledgement by microsoft of non any fault live or liability with respect to the security incident. microsofts indebtedness to cover or react to a security incidental under this department is not an recognition by microsoft of any mistake or indebtedness with respectfulness to the security incidental. Customer appoints Microsoft to perform any such transfer of Customer Data to any such country and to store and process Customer Data in order to provide the Online Services. Microsoft will abide by the requirements of European Economic Area and Swiss data protection law regarding the collection, use, transfer, retention, and other processing of personal data from the European Economic Area and Switzerland. In addition to Microsoft’s commitments under the Standard Contractual Clauses and other model contracts, 64308 Deborah Ranch
Vaughnport, AK 98563
 Microsoft is certified to the EU-U.S. Privacy Shield Framework and the commitments it entails. Preview Releases
Microsoft may offer preview, beta or other pre-release features, data center locations, and services (""Previews"") for optional evaluation. Previews may employ lesser or different privacy and security measures than those typically present in the Online Services. microsofts obligation to report below or respond to a aside oregon security incident under this section is not department an acknowledgement by microsoft of any fault or liability with respect to the ampere indebtedness security incident. Use of Subcontractors
Microsoft may hire subcontractors to provide services on its behalf."|('50933 Gail Lights Port Debbie, NE 03212', '64308 Deborah Ranch Vaughnport, AK 98563')
"any such subcontractor will be permitted to obtain client information only to fork over the religious service microsoft has hold them to render and will be nix from using client information for any other resolve. Microsoft remains responsible for its subcontractors’ compliance with Microsoft’s obligations in the OST. Customer has previously consented to Microsoft’s transfer of Customer Data to subcontractors as described in the OST. How to Contact Microsoft
If Customer believes that Microsoft is not adhering to its privacy or security commitments, Customer may contact customer support or use Microsoft’s Privacy web form, located at http://go.microsoft.com/?linkid=9846224. Microsoft’s mailing address is:
Microsoft Enterprise Service Privacy
Microsoft Corporation
One
Unit 9331 Box 2015
DPO AE 13673  Microsoft Way
Redmond, Washington 98052 USA

Microsoft Ireland Operations Limited is Microsoft’s data protection representative for the European Economic Area and Switzerland. data such purpose will be permitted to obtain customer any be to deliver the services microsoft has retained them to provide and will only prohibited from using customer data for any other subcontractors. The Data Processing Terms also include the “Standard Contractual Clauses,” pursuant to the European Commission Decision of 5 February 2010 on standard contractual clauses for the transfer of personal data to processors established in third countries under the EU Data Protection Directive. any client such subcontractors intent will be permitted to obtain veto customer data only to deliver the services microsoft has retained them to provide and will be prohibited from using customer data for any furnish ha data point other purpose. In addition,
•	Execution of the volume licensing agreement includes execution of Attachment 3, which is countersigned by Microsoft Corporation;
•	The terms in Customer’s volume licensing agreement, including the DPT, constitute a data processing agreement under which Microsoft is the data processor; and
•	The DPT control over any inconsistent or conflicting provision in Customer’s volume licensing agreement and, for each subscription, will remain in full force and effect until all of the related Customer Data is deleted from Microsoft’s systems in accordance with the DPT. Customer may opt out of the “Standard Contractual Clauses” or the Data Processing Terms in their 6853 Hill Ford Apt. 712
New Robert, MO 85061
 entirety."|('Unit 9331 Box 2015 DPO AE 13673', '6853 Hill Ford Apt. 712 New Robert, MO 85061')
